,loglik1,loglik2,loglik3,loglik4,loglik5,loglik6,subject,model
0,67.39272881927009,52.09774168084615,36.901569458033634,38.456390766416455,54.29012701004329,34.75127650265132,sub02,persistent
1,83.72276531584424,20.98334564585928,38.67470447543952,21.67107432459956,24.511839473109625,16.104992513940683,sub03,persistent
2,56.80032534379712,44.00437832683373,45.642404456721884,13.502113352751726,12.048122774195566,26.462547125597943,sub04,persistent
3,23.439332787248443,10.503609393686634,18.52487247852442,13.58128432909985,15.595373029114285,27.880337317432783,sub05,persistent
4,73.28840542424037,71.83886165206312,75.3419196677204,60.03027817883993,79.94817587146795,68.60371603404977,sub06,persistent
5,50.63933223187101,41.74397783640861,39.066342580372705,34.00168279438144,53.454041636798124,38.12922413836806,sub07,persistent
6,48.49067880581945,41.47727027377011,38.83052371148604,27.744922386962298,14.7854733557309,14.378468173492994,sub08,persistent
7,10.439828702970093,29.348341283612278,26.708479334448207,18.184651244800634,15.58458730005871,16.268620749494957,sub09,persistent
8,64.8050620419525,132.26061536059598,148.93127437991288,190.75488419562936,178.86031163545465,182.93895119180962,sub10,persistent
9,56.46993821660188,70.10063928455946,59.57224290387068,51.100221592841876,31.841740027282302,44.663457239920795,sub100,persistent
10,33.04859485916708,20.26986216326299,23.085868962596063,28.59886045123387,22.031640911758934,30.469427933241377,sub1000,persistent
11,39.63454702735979,15.841246366094463,33.456891387529254,50.63678326361116,14.274525994818996,34.250761258738535,sub1001,persistent
12,23.568109379010384,30.64827310943097,44.367728692684516,40.68959231107636,60.06343190244854,48.641844795946774,sub1002,persistent
13,107.04482142649582,60.83373815784349,82.51963141164205,37.67064053115328,34.0073915695493,42.736853995179715,sub1003,persistent
14,46.03143861677691,45.85484137549327,52.96947653586098,47.61761348204234,34.77200723512034,37.76119920642593,sub1005,persistent
15,32.27762767676789,55.44846069677823,54.39739255244557,59.37593700401357,45.29838857331341,29.54581146654733,sub1006,persistent
16,45.763542242339526,32.746063239358904,45.285464528390825,30.66570091246054,42.79967021501189,21.796458583303163,sub1007,persistent
17,58.006065586345365,118.09593316671013,68.14400078450191,51.83243471362868,54.115585505437075,49.24748005174589,sub1010,persistent
18,38.85807396091203,14.627041464444064,31.27800608737303,22.003980068401482,21.316608116540277,32.645301117746925,sub1011,persistent
19,72.3861753717924,44.05924300740991,62.39740575725871,49.04383112101785,56.75533235685003,40.957469299449905,sub1012,persistent
20,10.497881535428746,40.272526893130184,20.736634609736335,7.895580421757168,13.724792498551887,57.955553578289276,sub1013,persistent
21,46.07157309339489,33.26184257632223,40.14653034799896,19.993594828661067,17.919125042142646,26.959516035858364,sub1015,persistent
22,31.265493358909076,30.613732341377464,14.269740976801403,18.52559407416064,15.381338924549818,47.07800990133217,sub1016,persistent
23,38.69116691482462,40.92986834426873,25.74703727928219,38.468748812705606,58.49915974956446,20.90114993232522,sub1019,persistent
24,20.646658739220456,11.475311979736775,38.25899164627896,11.649769495277287,13.375381011380837,31.223839592345264,sub102,persistent
25,48.90928197679443,37.30755242497874,57.6117481188414,40.01656079092392,20.425532185558392,31.884516037084886,sub1020,persistent
26,19.55928779396256,26.8054904151942,23.71010346048665,19.030592467986637,31.108428303469374,24.583810655714696,sub1021,persistent
27,33.16104944306201,47.65163533049328,62.936684928474165,63.43149294875454,53.15029452465007,39.82563866369447,sub1022,persistent
28,83.39509367890017,40.59741275055381,64.0361222861655,40.461242668553986,75.37883374085752,26.95239706933865,sub1023,persistent
29,19.612935651884126,24.344441185270995,28.446135675824408,25.601230174039674,11.938238806569677,28.74062047989307,sub1024,persistent
30,65.73671676138697,87.83166299660691,56.09414193661281,52.64059027497461,38.57096368028146,35.96159034223961,sub1025,persistent
31,94.37735742652919,100.08996542830945,120.06696259926215,90.81501010968691,116.80716965400991,111.25760160888505,sub1026,persistent
32,99.52800385755118,90.45596317462123,121.11603489108631,84.3874824107493,86.42325918530811,88.21863044846562,sub1027,persistent
33,39.923890823618365,52.49772781995719,63.83979816373579,17.93912071516165,49.70016459261221,49.683085190244796,sub1028,persistent
34,31.019195293022683,46.01296278574144,55.49414146542633,33.490600642488,37.219803347216576,31.309376640343515,sub1029,persistent
35,104.56752362860891,91.40014230551738,97.3386999706875,68.35923372273487,55.11521895043197,43.52865139396055,sub103,persistent
36,59.057075338351,62.869670721225326,44.298572888112474,51.638568460506356,64.54478833037342,42.835119018330985,sub1033,persistent
37,26.978422885525482,9.870331022203603,19.274345596447596,36.88126090871711,17.874026638141014,16.498843809637997,sub1034,persistent
38,63.449527746854656,55.035458000846454,34.52175095819186,30.441977045613402,14.476575155450343,32.60243374218723,sub1035,persistent
39,30.707164049685776,13.39461139021149,30.59432253070608,8.109131544504313,10.930369868845766,23.65747258533122,sub1037,persistent
40,98.26339767422559,101.03371716089985,111.23445985089894,152.73849781661585,142.73916311187986,146.35323076963024,sub1038,persistent
41,43.05067931757297,47.533055192200486,18.3844022094708,40.15211166399835,38.22356491306697,22.21277028470055,sub1039,persistent
42,9.439497093009011,5.188822817123307,6.095816594797655,15.12752185409207,4.760949822686625,25.629017892373614,sub104,persistent
