sub,alpha_ind,eta_ind,sigma_ind_pre
sub02,0.8152581596249999,0.4401417955,0.0974519372
sub03,0.6568265605375,0.32966309521250003,0.058249886875000004
sub04,2.71079114775,0.5589008871250001,0.0687993766
sub05,0.2468644780775,0.562012805625,0.0400230799625
sub06,2.57250051375,0.502570804375,0.11720314046250001
sub07,3.266006272625,0.63894009275,0.07494878725
sub08,1.32941037675,0.5881209390000001,0.0761057197375
sub09,0.483815956025,0.542205572125,0.0410164593875
sub10,8.92950809625,0.39448428862499996,0.111976532675
sub100,2.40729214025,0.511835002375,0.0950125302
sub1000,0.67603750655,0.5365318725,0.06509517320000001
sub1001,1.1201581664625,0.695578730875,0.04927486035
sub1002,0.770357708675,0.581450656625,0.036742339875
sub1003,4.05529114125,0.45147035475,0.1277887244625
sub1005,6.76589246625,0.7200248075,0.0726361305625
sub1006,0.991261872625,0.51914796075,0.06787612548750001
sub1007,0.6422360235125,0.498704150375,0.0750128955625
sub1010,1.01221146975,0.290055403,0.1551093163125
sub1011,0.9184047403375,0.667834101875,0.050162593925000006
sub1012,5.721690245,0.6044633031250001,0.0540211038875
sub1013,0.7770007244874999,0.560333367125,0.0561895950125
sub1015,0.8109702320625001,0.46644978737500004,0.0603248156
sub1016,0.5951853488000001,0.53843556325,0.0594107199125
sub1019,0.43183065531250003,0.335280831375,0.1063933457375
sub102,1.0646090301875,0.7417698028749999,0.0423040157375
sub1020,7.66256019625,0.746661952125,0.09158022660000001
sub1021,0.55019588525,0.48501383837499995,0.048987090162500004
sub1022,0.618323365475,0.346406172125,0.0546750983875
sub1023,0.948293653125,0.439188643125,0.090920887175
sub1024,0.968273977225,0.63103729,0.0497017927125
sub1025,5.35289856375,0.4855174315,0.0633131444375
sub1026,48.090110875,0.598478573625,0.0586246739875
sub1027,1.833536999,0.293411205375,0.0975627984125
sub1028,2.5916333745,0.6058201910000001,0.0445684543375
sub1029,1.775118454,0.669774934625,0.077475741425
sub103,1.756544092625,0.30910765275,0.12188706349999999
sub1033,0.9720276408749999,0.32527809625,0.06557369865
sub1034,0.5158894641125,0.5477222043750001,0.039034856675
sub1035,6.5812598875,0.672990173125,0.1633684640625
sub1037,0.68689962655,0.6417208896250001,0.051976347775
sub1038,7.523214286250001,0.451261124375,0.14879195955
sub1039,0.7450219161,0.43551770275,0.06475173988749999
sub104,0.0290794850526975,0.622669957875,0.037070246125
sub1040,0.2327474357125,0.4162855643125,0.04335849475
sub1043,3.5433507045000003,0.7374907392500001,0.069665783175
sub1044,3.45569880375,0.517556756,0.07109139288750001
sub1045,0.9625526307500001,0.63197326025,0.048803637350000005
sub1047,1.8271692826250001,0.67516486125,0.047962795337499996
sub1049,0.5769423809249999,0.39502294862500004,0.079924934325
sub105,0.27085094344875,0.67716669375,0.0486292704
sub1051,6.11276923525,0.79407830125,0.0684664856625
sub1052,2.46717611525,0.363066612375,0.13006003759999998
sub1053,0.1443322581275,0.1195692544,0.054778620662500006
sub1055,1.065084893125,0.49317400775,0.083502022925
sub1057,0.5415739440249999,0.395629751875,0.07855673785
sub1058,3.66992369325,0.615976895,0.0951148161125
sub106,0.9814946215,0.649570263625,0.0447978353125
sub1060,5.12577602875,0.5709528377499999,0.1299702775
sub1061,10.46108384125,0.5678496108750001,0.070989943275
sub1064,2.20558892175,0.368415935375,0.10751678545
sub1065,1.21396455825,0.3603770935,0.0779316979125
sub1067,15.75506726,0.7138505085000001,0.064549859275
sub1068,5.637417884625,0.7838264269999999,0.06607631162500001
sub1069,0.231811660425,0.24309077435,0.07274921485000001
sub107,1.5126287383750001,0.3672398775,0.153163040475
sub1072,0.8570768119375,0.7679383322500001,0.09288238995
sub1074,0.75225733225,0.43926172474999997,0.0776054256125
sub1075,4.22086812625,0.589328956875,0.1044191827625
sub1076,2.4639463956250003,0.3458858795,0.0950471154875
sub1077,2.354011689375,0.756432572375,0.043760363925
sub1078,3.41152735625,0.0699598564625,0.13628377727500002
sub108,1.4616025261249999,0.386666542625,0.09788030556249999
sub1081,0.45538720660000004,0.489721887375,0.041047545325000004
sub1082,1.29640242325,0.482092701875,0.07774335892499999
sub1083,0.574701295,0.577584379625,0.0651210049
sub1085,1.34813091125,0.441112047125,0.1068454737625
sub1086,1.372753271625,0.0976743355875,0.130975256425
sub1087,0.162700336992625,0.59183916575,0.0266286287375
sub1088,19.00144074,0.5395968765,0.13609903650000002
sub1089,1.627065244125,0.5009982696249999,0.15773876386250002
sub109,1.2947982166249998,0.505519114375,0.07154207239999999
sub1090,0.8694794115875,0.565844295125,0.06337690662499999
sub1091,2.7042076547500002,0.7567313349999999,0.0422127734875
sub1092,1.996525425125,0.51263032475,0.0630120722625
sub1093,0.15823827037625,0.5000396046375,0.0395583120125
sub1095,4.0288620195,0.71259491125,0.09703827155
sub1099,0.597603401425,0.6091257183750001,0.0390446715375
sub11,1.49046391675,0.8090973021250001,0.0337373407
sub110,0.6576764567375,0.49729231362500004,0.0393891843625
sub1101,0.76564600095,0.563227532625,0.0612596712
sub1102,0.8280357085000001,0.36512184737500003,0.1253833413375
sub1106,0.5735824660625,0.14426036816249999,0.09422173926249999
sub1107,44.930369375000005,0.359327698875,0.1276396604625
sub1109,0.58992869375,0.09429157089250001,0.100011160825
sub111,1.136618026625,0.498172745625,0.0955951692125
sub1111,0.345870797575,0.33012486422500004,0.0610453888625
sub1112,2.0595943216249997,0.673083575625,0.061034388225
sub1113,0.38205975775,0.40137030562500003,0.052967940525
sub1114,4.38306686575,0.631481051875,0.09601452885
sub1115,0.6648266501875001,0.5228957343749999,0.0591449178625
sub1116,0.4995411334125,0.367767599375,0.089067486675
sub1117,1.2721733270813749,0.88193139275,0.1318694633625
sub1119,1.8571918276250001,0.28484005575,0.1577892919875
sub112,0.6910129524999999,0.50073121725,0.06680701065
sub1122,0.677749618175,0.468170292625,0.0624012676125
sub1124,2.141888031125,0.673889775,0.08479976175000001
sub1126,0.9152846431125,0.619853150875,0.062985435825
sub1127,3.670538894375,0.50192157825,0.0789207598
