sub,alpha_ind,eta_ind,sigma_ind_pre
sub02,0.67247077125,0.516755574,0.09574357025
sub03,0.466047158625,0.398047968375,0.052184507887499995
sub04,1.199508647375,0.6180153315,0.056022196425
sub05,0.5288811603875,0.712664498125,0.04689667165
sub06,2.65031550125,0.508738623875,0.1001542845625
sub07,3.5678786212499998,0.7108299261250001,0.08596169465
sub08,1.075924312625,0.6662800685,0.061854356099999994
sub09,0.3694437980375,0.590495441625,0.0467345700875
sub10,56.46571385,0.2071368875,0.10089128235
sub100,2.36267579,0.5804911778749999,0.0753343790875
sub1000,0.50930345975,0.589265774875,0.064102540175
sub1001,1.277438238,0.6921710130000001,0.06501827989999999
sub1002,1.665590604125,0.617952371125,0.0682754890625
sub1003,5.22583043125,0.628648469625,0.1223467491
sub1005,5.88968431875,0.747306744875,0.07181308597500001
sub1006,1.979264188125,0.6468384475000001,0.086696113575
sub1007,0.64463948225,0.527217396375,0.0801184998625
sub1010,1.8401768058749999,0.5505830711249999,0.17275905249999998
sub1011,1.24877895,0.7447845585,0.0598945096125
sub1012,3.57578297625,0.59108163625,0.0768254669375
sub1013,1.2390549805,0.71811990775,0.0517987870125
sub1015,0.3298218618,0.356046302125,0.05293684295
sub1016,0.51813743525,0.593809797125,0.055459667875
sub1019,0.2105666587,0.2736128140625,0.0889389757625
sub102,0.9100902763750001,0.72882345075,0.04953550575
sub1020,8.511109285,0.811179389625,0.09228844665
sub1021,0.608672361875,0.620143272625,0.0574988771125
sub1022,0.9174446945,0.4304037875,0.0714767981125
sub1023,0.492980504375,0.365032866125,0.088153425475
sub1024,3.98759861125,0.867906843,0.06574941068750001
sub1025,4.921476794999999,0.616814442625,0.058522700275
sub1026,88.70844096249999,0.592447716375,0.067582702675
sub1027,2.25167398375,0.31777502399999996,0.0883156596125
sub1028,3.6629288512500002,0.6569843221249999,0.0546263282125
sub1029,2.617167261125,0.730581448625,0.1178006689
sub103,3.71328349,0.515645694375,0.12077805611249999
sub1033,2.12174332125,0.55690764475,0.08286658075
sub1034,0.61856215675,0.62408397625,0.046718033575
sub1035,12.760149998749998,0.8257501646250001,0.1627762855875
sub1037,0.9315361445,0.754827106375,0.0488651774875
sub1038,40.0171561625,0.43829724825,0.19340316675
sub1039,0.5159796102499999,0.50783038725,0.06950572364999999
sub104,0.10635477817875,0.766768536125,0.051963487837499996
sub1040,0.40051809974999997,0.5482560153749999,0.0504288768375
sub1043,4.37098119375,0.8210665465,0.0772823445125
sub1044,2.3137371315,0.544237065625,0.0602781785
sub1045,0.5478053882499999,0.5979829841250001,0.047549587662500004
sub1047,0.794820610125,0.6012575313749999,0.0487348280625
sub1049,1.23849219375,0.479107331875,0.1180075465125
sub105,0.16955119261249998,0.654377589125,0.050640964087500004
sub1051,4.489225319999999,0.842934283875,0.0588030612875
sub1052,8.485398825,0.3301275305,0.19526006387499997
