sub,alpha_ind,eta_ind,sigma_ind_pre
sub02,0.7189264077499999,0.454319618625,0.1031814193125
sub03,0.650543682125,0.36145620562499997,0.063150194225
sub04,2.015019662375,0.659540445875,0.06289287291250001
sub05,0.627963755775,0.71907254175,0.0461958929375
sub06,2.7112160565,0.5054076515,0.106517632725
sub07,4.17923861375,0.689704323375,0.0831814202125
sub08,1.536123132375,0.694554293875,0.0571941592125
sub09,0.401129370275,0.5492293195,0.0442923042875
sub10,48.263040562499995,0.34774310125,0.082292840975
sub100,2.314085385625,0.584512660625,0.0602261287
sub1000,0.5748220141125,0.543644371875,0.0625582372
sub1001,1.61080720225,0.759064745375,0.05694723725
sub1002,2.130710408375,0.6511433244999999,0.06511554655
sub1003,5.40047473875,0.5715809905,0.14134514441249998
sub1005,6.09350950125,0.752987834,0.0663839132875
sub1006,1.668114639875,0.6258491401249999,0.072388860875
sub1007,0.7428383750750001,0.48042863825,0.0857598194375
sub1010,3.3528785235,0.66645753775,0.20310286795
sub1011,0.716272478525,0.620292368,0.0574022021625
sub1012,3.71982207625,0.51686694375,0.07445252035
sub1013,1.11759249725,0.8214281482500001,0.0321941633625
sub1015,0.4174910492,0.36856896525000005,0.0596838094625
sub1016,0.29006426627500004,0.51001155575,0.0390540387
sub1019,0.280999459925,0.30120150626250003,0.108482357575
sub102,1.0757217075,0.7090006640000001,0.0510333137625
sub1020,8.5477269525,0.78641337375,0.097536139525
sub1021,0.812305983125,0.6358298331250001,0.0555139056625
sub1022,1.008445287375,0.44753351874999997,0.07301866141249999
sub1023,0.69555575625,0.32025516775,0.11303289313749999
sub1024,4.372189081625,0.873102870625,0.062275259875
sub1025,4.2885060475,0.61091013025,0.046050253875
sub1026,62.9726183,0.5562245632499999,0.073218687175
sub1027,2.04053912075,0.289243198125,0.0892868361875
sub1028,3.1137379378750003,0.5672129743750001,0.0562036452875
sub1029,2.844454909875,0.6907181288750001,0.113372279225
sub103,4.2763091225,0.4985248665,0.13787502875000002
sub1033,2.2700857621250004,0.530294575125,0.0784603659
sub1034,0.6153385213125,0.5725860055,0.04130206295
sub1035,8.9594279425,0.814662628625,0.131569854625
sub1037,1.07971858725,0.697537494375,0.0544960321
sub1038,27.6817824625,0.45115712150000004,0.13130426655
sub1039,0.529629303075,0.5201749965,0.06608279841249999
sub104,0.018568726545736252,0.69657115275,0.0338985938875
sub1040,0.6835342255125,0.587886146125,0.0584857037875
sub1043,3.8215280689999997,0.821301321625,0.07338087445
sub1044,2.52519016275,0.5273910095,0.053615292012499996
sub1045,0.556031195175,0.5540283020000001,0.0482048934375
sub1047,0.71333656925,0.551340613375,0.047068803825000005
sub1049,1.98003270625,0.523668291125,0.14396628986249999
sub105,0.207241640425,0.654052920125,0.0511193237625
sub1051,5.31659550625,0.8398551507500001,0.057026086662499996
sub1052,6.4702705,0.356814786125,0.18751659612500002
sub1053,0.2641797082125,0.269811013875,0.062222776925
sub1055,1.2066174900000002,0.507542069375,0.1006795216
sub1057,0.73711710425,0.362857790625,0.0988700350125
sub1058,5.99271056125,0.7470455309999999,0.0910554104875
sub106,0.88955521075,0.664334223125,0.04193964845
sub1060,4.897510055,0.6709611328749999,0.0919415157125
sub1061,34.612947874999996,0.5232357285,0.083485158275
sub1064,2.14085354,0.487750747875,0.1026128963875
sub1065,1.936317963125,0.5186643299999999,0.0801826456875
sub1067,19.3161404275,0.7995794807500001,0.0560388692625
