sub,alpha_ind,sigma_ind_pre
sub02,0.1654329453875,0.0709633676
sub03,0.1193426933625,0.0406227727375
sub04,0.1681289324375,0.0421918931625
sub05,0.054720081271250005,0.036054481025
sub06,0.5255256712499999,0.0654738904375
sub07,0.33773838625,0.05757402355
sub08,0.1224603874375,0.0453816460375
sub09,0.055173375425000004,0.036095403975
sub10,12.88363597125,0.06141286875
sub100,0.37727249825000003,0.052392898175
sub1000,0.0968906702125,0.051828241562499995
sub1001,0.1341617829375,0.0475969570625
sub1002,0.219218279425,0.0470883216375
sub1003,0.6116762616250001,0.0701979264
sub1005,0.444937659125,0.051506329899999995
sub1006,0.27980925274999996,0.0611747542875
sub1007,0.140268939225,0.0598038835875
sub1010,0.41994657999999996,0.1012904569375
sub1011,0.1144187206875,0.045583847412499996
sub1012,0.50749637475,0.0550056971625
sub1013,0.1277018420875,0.039564475074999994
sub1015,0.09266581892499999,0.0417965231
sub1016,0.0766104066375,0.041725514175
sub1019,0.10039245200000001,0.074228511725
sub102,0.08798580571249999,0.039202462775
sub1020,0.425017164375,0.0605264521625
sub1021,0.075862163575,0.0420410298
sub1022,0.2223230803875,0.052839947100000006
sub1023,0.185456869225,0.0708114271625
sub1024,0.17580435783749998,0.0493200886375
sub1025,0.664936087125,0.044242342525
sub1026,5.1987592125,0.0470702641
sub1027,0.7816972652499999,0.065827809525
sub1028,0.4642582585,0.042927656825
sub1029,0.2488929734125,0.0740088693
sub103,0.688506791,0.0769197363625
sub1033,0.37299990075,0.057230256187499995
sub1034,0.0808372409375,0.035430732212499996
sub1035,0.415836096125,0.0723567850625
sub1037,0.07989744525,0.037648511475
sub1038,5.2415902787499995,0.08981989555
sub1039,0.1013701061375,0.051479480012499995
sub104,0.012563360195499999,0.046267780637500006
sub1040,0.0647116948375,0.0380098336
sub1043,0.266939676625,0.058106613975
sub1044,0.389893663,0.044997784549999996
sub1045,0.0798111030125,0.0365956840375
sub1047,0.1210229360875,0.037446696175
sub1049,0.320485538375,0.0809604888875
sub105,0.03023162506125,0.044351924825
sub1051,0.278541924125,0.050520041725
sub1052,2.54302752375,0.115290587
sub1053,0.087072007675,0.0487437575375
sub1055,0.223924745825,0.06741937083749999
sub1057,0.1924844536,0.0643914832125
sub1058,0.3892935865,0.0612175356125
sub106,0.08738886474999999,0.03256374135
sub1060,0.494404229875,0.0634791731625
sub1061,5.87648667,0.0488239215875
sub1064,0.33721856337499995,0.0639866509625
sub1065,0.33794874337499997,0.054274008725
sub1067,0.9134020571250001,0.0465889108125
sub1068,0.35443015975,0.0581295452125
