sub,alpha_ind,eta_ind,sigma_ind_pre
sub02,1.090546225,0.507233027125,0.10705529255
sub03,0.692166417,0.51590478875,0.0529226825
sub04,1.7206068065,0.61061085675,0.0638996792
sub05,0.3399590224,0.62987367975,0.051994727987499996
sub06,3.1562955862499997,0.53114822325,0.1091561873
sub07,3.65337349125,0.6980611305,0.08483722892500001
sub08,1.621745326125,0.6877502456250001,0.07536777666250001
sub09,0.53201099,0.5838574293750001,0.0505583873
sub10,39.4756216125,0.19994214825,0.0885016215875
sub100,1.9836545134999999,0.56621182,0.062307424374999996
sub1000,0.6385085325,0.60805592125,0.060372098925000006
sub1001,1.628556474375,0.7034028487499999,0.0614538864375
sub1002,1.40366588,0.5656398545,0.0806407255
sub1003,4.8173580975000005,0.66148812175,0.1416804081875
sub1005,10.441088157500001,0.75525324575,0.09114278771249999
sub1006,1.983777846875,0.6219095048750001,0.084467097875
sub1007,0.50978895775,0.56838286475,0.075718335
sub1010,2.54254689,0.487888193125,0.187468042375
sub1011,1.26818429325,0.786557512625,0.0595706113875
sub1012,5.141088945000001,0.571456447,0.0899694321875
sub1013,1.1737146756249999,0.609768156625,0.049932150962500005
sub1015,0.26824978818749995,0.479919224875,0.0500687517625
sub1016,0.3306141580625,0.5356055105,0.0555291592125
sub1019,0.200997276275,0.334958740875,0.09077954495
sub102,0.9714078067499999,0.7233680178749999,0.0519232152625
sub1020,5.85047658,0.7716050010000001,0.08995153875
sub1021,0.808394091875,0.61655904875,0.064423946225
sub1022,1.085400200875,0.355224842625,0.0690652114875
sub1023,0.757801293125,0.43799837225,0.104586280125
sub1024,5.7217687725,0.8608842062500001,0.0786934877625
sub1025,7.1019395649999995,0.604969915125,0.075080186375
sub1026,47.736274037499996,0.5516106996250001,0.0563078321375
sub1027,2.51145893875,0.340232003,0.10827643773750001
sub1028,3.183523995,0.606013379375,0.055091711412499994
sub1029,2.5183006569999997,0.72279163775,0.1115789325375
sub103,3.69682902125,0.5304929426249999,0.15348540075
sub1033,2.1609508205,0.5681179465,0.08809208155
sub1034,0.3352152993875,0.622205516625,0.0440082692875
sub1035,9.03765003125,0.811811795,0.15352338415
sub1037,0.807429323125,0.758849006625,0.0466729376625
sub1038,29.922529875,0.46541744475,0.15086993565
sub1039,0.35127587295,0.478104704625,0.0689168029375
sub104,0.14394335083749998,0.773381244875,0.051436048825
sub1040,0.3582608972375,0.5842878927499999,0.050250296075
sub1043,2.6322855535,0.7875802962499999,0.07695780167499999
sub1044,2.5733017425,0.587999113125,0.070186045075
sub1045,0.76183117975,0.5888734664999999,0.057653689225
sub1047,0.463359716875,0.5491990197500001,0.040741791975
sub1049,1.0106328865,0.462646714125,0.0999291144
sub105,0.22834209541249997,0.59865264725,0.0521122917625
sub1051,5.322144375,0.84393671825,0.0609073218125
sub1052,9.3743397825,0.293994676375,0.20765629875
sub1053,0.18100236390000002,0.23612066871249998,0.0622189782625
sub1055,0.449630199875,0.358922426375,0.0883726915875
sub1057,0.7224012635,0.39253156424999996,0.0925946933875
sub1058,5.83976121875,0.850932625,0.0822456974
sub106,0.846869909875,0.759542053375,0.039083584425
sub1060,3.25066921,0.674099297125,0.094056631525
sub1061,31.185163325,0.496937951625,0.05794642555
sub1064,2.064779452875,0.5147174999999999,0.09555620322500001
sub1065,1.040547270875,0.374255025375,0.0851059935125
sub1067,19.32096682125,0.79546902075,0.06046041545
sub1068,6.87502247875,0.84353331475,0.089292028925
sub1069,0.364664576925,0.32656823,0.1072930607125
sub107,0.8140561602499999,0.49110253137500004,0.1031276151625
sub1072,1.276828511875,0.713757715,0.070574228975
sub1074,0.7206537635,0.48217888825,0.0765824859125
sub1075,5.03075160375,0.7155544485,0.1000524813
sub1076,2.1292326887499997,0.28867142875,0.112770648275
sub1077,1.5367288643750001,0.726126613875,0.05252121765
sub1078,5.989249105,0.0643536422375,0.170906220375
sub108,1.407977652625,0.246520630625,0.1056272555625
sub1081,0.2169457145625,0.46476558012499997,0.036328739675
sub1082,0.7333522823749999,0.552114217625,0.0571943992375
sub1083,0.46251124225,0.704196021125,0.055684208150000004
sub1085,1.2945755146250002,0.64988075525,0.0878677812625
sub1086,1.548516,0.098671006,0.12910225552500001
sub1087,0.1855899469125,0.5770863375,0.0375996262
sub1088,36.8105770625,0.52499123575,0.102800305975
sub1089,0.5835425371249999,0.485272238125,0.13348472658750002
sub109,1.993159671125,0.6945602313749999,0.0796365699875
sub1090,0.294106956625,0.58814327575,0.045134210925
sub1091,1.9591749921250001,0.683516764375,0.07258385654999999
sub1092,4.0174014287499995,0.675886835875,0.0577057995625
sub1093,0.2280978369625,0.288416994375,0.046040617124999995
sub1095,4.979780835,0.702635218375,0.1383191592625
sub1099,0.45150070286250005,0.639101144,0.0744295563875
sub11,1.38073364175,0.820796626375,0.040819999162499995
sub110,0.2645642988125,0.450435007375,0.051228948837499996
sub1101,1.139286179375,0.651136849,0.0570983455875
sub1102,0.7078498281250001,0.4211761485,0.10804498832500001
sub1106,1.0168372485,0.3022463065,0.1346243047625
sub1107,43.036429212499996,0.40699674375,0.0832749335875
sub1109,1.130072330125,0.1224716301125,0.1385867847125
sub111,1.934563434375,0.583964838125,0.10906060845
sub1111,0.20683610053749998,0.33820368437500004,0.047670422125
sub1112,3.80446354125,0.784095244125,0.079150792825
sub1113,0.63016529075,0.540644933,0.0602592010625
sub1114,5.3026354950000005,0.6478693711250001,0.0935400347125
sub1115,1.4019969757500002,0.652081535375,0.059725514462500004
sub1116,0.3749054952875,0.663168196375,0.058484660175
sub1117,0.42690226136500004,0.840176555375,0.1638575185625
sub1119,1.4778510127500002,0.279865251875,0.1152638517
sub112,0.798163671625,0.536631988,0.07493884540000001
sub1122,0.3270013159125,0.4716605155,0.06655543058749999
sub1124,3.8468794762500003,0.580338775375,0.1416040488125
sub1126,1.034595558,0.6857041829999999,0.0687416543125
sub1127,3.78405375,0.6904405138749999,0.07505677364999999
sub1128,1.563342713,0.632489569875,0.079271517575
sub1129,0.760117541875,0.6997177425,0.0639009919
sub113,1.113584266875,0.60993655525,0.077041398
sub1130,0.631917092375,0.3663036015,0.08347557195000001
sub1131,1.9161839842500001,0.38451238562499995,0.1022726462625
