sub,alpha_ind,beta_ind,sigma_ind_pre
sub02,0.9808576845,37.624659075000004,0.1005073847625
sub03,0.6415103357499999,22.73896803125,0.0531327245
sub04,1.7135169455,64.2651596625,0.0579659614875
sub05,0.808605056375,101.24216212500001,0.048640723549999994
sub06,3.111691855,35.0477069125,0.0980539320875
sub07,4.54867338,98.5008041,0.0878881601125
sub08,1.5991088275,80.68359084999999,0.063726698025
sub09,0.591686584625,59.8475409875,0.0486562285625
sub10,48.347382599999996,20.17285792625,0.0949512404125
sub100,2.75466060375,42.7777497375,0.076459097575
sub1000,0.75175039975,56.85368325,0.0663564825875
sub1001,1.874999980625,89.96939245,0.0672561971
sub1002,2.1487591467500002,55.17139755,0.0692445161875
sub1003,5.97431714875,63.818474824999996,0.122114171775
sub1005,6.1933615387500005,112.363878675,0.07390528240000001
sub1006,2.5878209433749997,63.2370599875,0.08955224952499999
sub1007,0.90075318825,39.193548962499996,0.0817727007875
sub1010,2.76541651675,44.463012937500004,0.18348840475
sub1011,1.77565402825,111.09112651250001,0.062482635674999995
sub1012,4.189218205,57.4396666875,0.0772983345
sub1013,1.717409112625,99.9565656625,0.053101932562499995
sub1015,0.46962472925,20.76224949125,0.05439855175
sub1016,0.7592175959999999,56.9275157875,0.057446681875
sub1019,0.2775997865375,11.720124445,0.0911289374125
sub102,1.3412197612499999,104.9995359125,0.0520494813875
sub1020,8.576177035,173.72378175,0.09435608100000001
sub1021,0.980601218375,67.9281771375,0.05907824915
sub1022,1.2557735267499999,28.1486971875,0.0722273662
sub1023,0.654965003875,17.87913065625,0.09093034025
sub1024,4.2147106225,217.042229475,0.0694813717
sub1025,5.3569145675,57.1260985,0.0587892832625
sub1026,70.8330014,143.3947613875,0.066437852775
sub1027,2.5998153225,14.80536404875,0.0879665784375
sub1028,4.341274605,71.4634977375,0.0564222122375
sub1029,3.57213983125,110.040296925,0.125635374025
sub103,4.3859054337500005,41.104988087500004,0.12284173178749999
sub1033,2.8425675037500002,45.1242922875,0.0845982272875
sub1034,0.951454237125,68.615584125,0.0482370024875
sub1035,11.953284159999999,210.567607875,0.159318393925
sub1037,1.34072609025,119.4206041125,0.0509517507375
sub1038,36.2627323125,52.118110725,0.18459694625
sub1039,0.75318085425,37.8996657625,0.07244189348749999
sub104,0.17808045823750002,135.5475979,0.0546037349
sub1040,0.6401594017500001,49.325503624999996,0.052134228875
sub1043,4.9158828475,173.856170225,0.08045391958749999
sub1044,2.85573203625,43.882486324999995,0.06133777295
sub1045,0.7576302382500001,51.479210775,0.049384170374999994
sub1047,1.195172767125,60.6323880125,0.0504689458875
sub1049,1.69154028825,32.823445,0.12085882456250001
sub105,0.24393826633750001,75.6386881875,0.052235259175
sub1051,4.87130548125,193.00335055,0.062753489725
sub1052,8.64879526125,19.442202375,0.18963571375000002
sub1053,0.246615752075,8.633065732499999,0.0586822667375
sub1055,1.2400383273750002,29.3272966875,0.0997366685625
sub1057,0.8504175159999999,25.2899269125,0.08474129011249999
sub1058,8.92376951125,194.3065899125,0.09689805877499999
sub106,1.220160185,103.0598431125,0.041689197525
sub1060,4.2078085524999995,60.060239075,0.0930134520375
sub1061,42.3628526375,56.590565962499994,0.0709803731
sub1064,2.59950892375,43.9622076125,0.10065884165
sub1065,1.53851996575,21.7431114375,0.0731328890625
sub1067,17.506891315,210.36362839999998,0.060371231762500005
sub1068,7.3359348212499995,212.75917337500002,0.081540964775
sub1069,0.2740678142625,6.88040817,0.085572714425
sub107,1.24250010625,28.980344562499997,0.11755665245000001
sub1072,1.901452994,88.5476222125,0.0862320584375
sub1074,1.157462720125,47.4074229,0.073241080675
sub1075,5.4050062500000005,73.8649679,0.10511032020000001
sub1076,2.9548869024999997,14.686047455,0.12225307305
sub1077,1.891412485,112.3581394375,0.059857510925
sub1078,5.76806447125,1.439782052,0.17588356049999998
sub108,1.344576768625,10.37072189,0.09313630895
sub1081,0.439586640475,40.06677053375,0.043253983425
sub1082,1.248996281,69.90862378749999,0.0620166185
sub1083,0.808270623375,67.10156722500001,0.06455437832500001
sub1085,1.794081549875,75.697379725,0.093813473675
sub1086,1.4906128195,1.79998905575,0.14121530487499998
sub1087,0.2070357957875,69.007841025,0.0368679941875
sub1088,47.554519074999995,98.19948746249999,0.098417228275
sub1089,1.2273058785000002,37.621219662499996,0.130298885875
sub109,1.904014943,75.4097311,0.07696951704999999
sub1090,0.5432678678,48.791298075,0.049254429074999995
sub1091,2.5014086738750003,128.544552425,0.06470545568750001
sub1092,4.774445303749999,58.50534077499999,0.071326469275
sub1093,0.27176427727499997,21.648660783750003,0.0467122880625
sub1095,6.9122727925,122.48563206249999,0.13054970606250002
sub1099,1.164914630625,83.4439446375,0.080415525275
sub11,1.67482005575,239.6275963125,0.045947356087499995
sub110,0.5423292545,35.2444219,0.049613658399999996
sub1101,1.12723212225,69.28870165000001,0.058400338525000005
sub1102,0.8387054450000001,25.5647546425,0.10280731878749999
sub1106,0.7858402328749999,7.4547328025,0.1218994330875
sub1107,54.435783275,51.7709098625,0.1061388787875
sub1109,0.985002713875,2.022617360125,0.120779468175
sub111,2.57270184,55.7936160125,0.1054894222625
sub1111,0.28875428412500004,20.59101783625,0.04596568165
sub1112,4.276997146249999,171.2655279125,0.07761340416250001
sub1113,0.949566267,44.745640975,0.0630269461125
sub1114,6.16291485,95.76176951250001,0.0908480651625
sub1115,1.2270640375000001,95.9083815125,0.0541257964125
sub1116,0.4154089783125,31.052746487500002,0.069525769625
sub1117,0.37411455598300003,211.36634706249998,0.1457147287875
sub1119,1.7497529731249999,10.92019016125,0.1094198205625
sub112,0.9515666456249999,48.0723021,0.07455588651249999
sub1122,0.600068574125,49.387280625,0.0684922138125
sub1124,4.0602026225,65.7995498625,0.11837291743749999
sub1126,1.510996781125,113.234634575,0.0639849738375
sub1127,5.79383667875,85.2656225625,0.0854453753625
sub1128,2.3903917725,61.27189405,0.080661350175
sub1129,1.7674437946250001,121.135608425,0.07877131028750001
sub113,1.6330816835000002,69.7699365625,0.085148051975
sub1130,1.139318799125,26.940259075,0.078278903525
sub1131,2.33028584875,19.55047171375,0.097015133575
sub1132,4.46471253375,58.787897275000006,0.10244402063750001
sub1134,9.23581644875,197.91388895,0.08951722347499999
sub1135,1.3218510135,36.8741248375,0.0611608101
sub1136,0.56403062775,6.775687465,0.10455733338749999
sub1138,23.0333156875,179.795800775,0.056325041787499995
sub114,1.9027907701250002,21.375350750000003,0.14462647960000002
sub1140,0.325072742275,85.757362125,0.0634680252625
sub1141,2.160675544125,40.6877394125,0.11034012576249999
sub1142,0.182321921025,102.0624520875,0.0589530031
sub1147,3.2410259775,66.1111702875,0.1426754113625
sub1149,0.3259886353,41.28971953375,0.0432090960875
sub115,4.225582037500001,33.607328062499995,0.0923140796875
sub1150,1.222443586625,25.013953425,0.0675573484375
sub1151,1.5613871827499999,91.4083362375,0.0643994254375
sub1152,3.0656734112499997,27.3226506875,0.109172731975
sub1153,1.138916545,78.34249195,0.058002211375
sub1154,4.36331601875,157.1600615375,0.07297576205
sub1155,0.515423835625,46.8491742375,0.07522921271250001
sub1156,112.77357633749999,32.7541683125,0.11830226535
sub1157,1.7842954895,55.1403515875,0.07424156206249999
sub116,0.6281299696249999,73.34217385000001,0.038333671625
sub1160,1.578894425875,38.6998027,0.0818473474875
sub1162,1.861226024,58.602633675,0.0726443812
sub1163,3.89390583375,23.647276875,0.0775793003125
sub1164,0.9009592835,36.399411687500006,0.0773411409125
sub1165,3.9144061499999996,57.458127675,0.0711472146375
sub1166,13.453154175,226.8753505,0.08127772788750001
sub1167,55.361411975,30.60312075,0.0619317053
sub1168,0.41220994925000004,17.135984373750002,0.0643155450375
sub1169,1.3252236421249999,45.1101555125,0.0982243058
sub117,1.676805818875,36.60403985,0.09384970105
sub1170,0.3418475159125,19.746700413750002,0.0627438539625
sub1174,6.2581556625,50.0565878875,0.0763085102375
sub1176,1.495983184375,69.8432901625,0.0787012847875
sub1178,0.56121376525,33.65127518875,0.0503343461375
sub1179,0.608428273125,50.5772873,0.052163699174999995
sub118,0.2665168352,40.02766500625,0.03894786935
sub1183,1.222243649125,17.247721065,0.1000024891125
sub1184,2.208130270625,57.016823300000006,0.08856095643749999
sub1186,0.5970460120000001,45.2558390125,0.039588897475
sub1187,6.62431674625,162.57247375,0.053042134675
sub1189,2.2634709465,64.36416575,0.0746323266375
sub119,7.86192014125,30.4029978625,0.0998334467
sub1190,0.776310859125,36.944334575,0.07458984268749999
sub1192,0.643025637375,5.269694360000001,0.089377163425
sub1194,2.3732097468749997,56.90215195,0.0763233174625
sub1196,83.62962859999999,2.8426677470875004,0.0322284372625
sub1197,1.960758238875,20.7988542625,0.13463215181250002
sub1198,12.19470873,7.78381487875,0.16199346712499998
sub12,0.281441353525,3.81378262925,0.0723690069625
sub120,0.751336604875,130.842832725,0.052305586024999996
sub1200,2.054449791625,141.4081269,0.06376323665
sub1201,0.3860197219625,119.6408011375,0.0400197664375
sub1202,0.371008056175,67.63993465,0.042857726775
sub1204,8.61902837625,72.008108425,0.06833611569999999
sub1207,1.780992791375,8.14839386375,0.1374778441875
sub1208,1.244155087375,72.12741108750001,0.0743413022375
sub1209,4.98883389625,119.62079385,0.1483890356625
sub121,2.5010234775,44.485619137499995,0.1083190034
sub1210,4.23834002125,287.35557775,0.07049410615
sub1214,1.809953391625,37.8537897,0.067735610275
sub1215,0.882019053625,56.5430431625,0.0728308288375
sub1216,1.6807414458749999,40.8728208625,0.0754321963875
sub1218,2.1101324153750003,65.2966104375,0.07606093526249999
sub122,0.8856644311249999,78.110406325,0.060156966475
sub1220,1.326027889125,79.15670165,0.059914184925
sub1221,1.3743299281249999,51.3773030375,0.07044070818749999
sub1224,12.859203486250001,68.7268483375,0.0617666021625
sub1226,0.6400519255,9.69190595,0.0842755014375
sub1227,1.657707018625,13.49831299625,0.117938704725
sub1229,0.53202012575,9.6320511,0.061911468075000003
sub123,0.3744805961125,56.4057691,0.0401378439
sub1230,1.4270199861250001,68.606440275,0.06259166752499999
sub1232,1.337089434125,26.652564025,0.10327316905
sub1234,0.550012013,30.720254261250002,0.056843039275
sub1235,0.517611897375,15.48608531875,0.0751837508875
sub1236,30.4796054625,2.7158863206249997,0.276915274
sub1237,0.552574415,19.2632710075,0.08471008956250001
sub1239,0.309864924525,11.043093692500001,0.0522868277625
sub124,0.621817779125,10.91322618375,0.0632313921
sub1240,0.746267966,11.169734558750001,0.095293022575
sub1241,1.2690123168749998,65.70103925000001,0.0718991416625
sub1242,2.705703784,75.474395325,0.103215499775
sub1244,0.884643935,79.97109532500001,0.0761950137625
sub1245,1.600719310875,66.6745121125,0.05123603125
sub1246,0.7579104995,28.020332699999997,0.0997963404
sub1247,0.495148116125,30.656052725000002,0.055512501825
sub125,0.711284375625,18.265355822500002,0.1133064297875
sub1252,3.6357019175,108.68804565,0.065550929275
sub1255,1.346243875875,65.83548115,0.07505435215
sub1256,24.559588124999998,20.504747650000002,0.11483345965
sub1258,2.440429013,62.2101301625,0.1009153299625
sub1259,0.8087194615,61.527066575,0.0641649776375
sub126,1.0740995230000001,60.4690667375,0.0562501518375
sub1260,0.9028560396249999,122.5145971875,0.0588592214625
sub1262,0.798334885875,39.7155932875,0.0741893964875
sub1264,37.756885687499995,117.4737667125,0.1667597334375
sub1265,1.57128038625,95.853639925,0.1265160839
sub1267,1.001602852625,6.383161995,0.12677068051249998
sub1268,4.734863385,54.3223176375,0.0820675287125
sub127,3.68982968625,215.88005595,0.0545179437875
sub1271,1.27610634325,80.069100725,0.0502339979625
sub1272,0.629172025125,45.922629987499995,0.07660362952500001
sub1273,1.40945616075,42.8962571125,0.0738991369375
sub1274,2.6716948830000002,55.9192126125,0.0819412547875
sub1275,0.9177612325,11.999581376250001,0.07221947756250001
sub1277,0.5950602447500001,19.18002900625,0.0610089123375
sub1278,0.7959200486250001,78.0279979625,0.095885795025
sub1279,1.785263858875,127.45450345,0.085821116925
sub128,3.93023755375,5.726038105,0.30628981425
sub1281,1.570885393375,55.889331112499995,0.086074561175
sub1283,1.210492209,48.992251287500004,0.06410707735
sub1284,14.5167113275,107.29119742500001,0.1150331501
sub1285,7.12088040125,91.5149530625,0.08398641698749999
sub1286,14.8247814925,401.91593874999995,0.0823220715375
sub1288,0.61332456,43.8259438125,0.052352732387499996
sub129,1.14391079725,60.53432395,0.062886498525
sub1290,2.59732119075,68.375638375,0.0861339693125
sub1291,2.29978792525,58.2865459375,0.064879647525
sub1292,9.00763203125,78.8689821,0.0821050469625
sub1295,0.483168686625,11.66621465,0.061942847775
sub1296,2.05713989975,6.51552907625,0.118516942175
sub1297,14.46910902,74.66303395,0.16357057175
sub1298,0.613849070375,42.7500878,0.0598517907125
sub13,1.450239332125,64.6634119375,0.0763809256625
sub130,1.513697301875,25.19197995,0.07065363528749999
sub1301,4.8627040975,25.68384335,0.0838489408375
sub1304,6.30191657375,38.378230949999995,0.1247575388875
sub1305,0.6962521495,149.528966625,0.0441019673375
sub1306,0.814808816375,43.866446787499996,0.0731612710875
sub1308,0.84985582975,10.96765477375,0.0725144835875
sub1309,3.40974500375,57.503243162500006,0.0809468476125
sub131,1.01345706975,88.09476760000001,0.06529459559999999
sub1310,0.1195349164125,8.88932550125,0.07360217535
sub1311,0.2979186967,9.64019719125,0.0748894244875
sub1312,2.05067067925,32.334421825,0.0657747163875
sub1313,2.064571004375,103.230014125,0.06994280218750001
sub1317,0.130163111575,10.335076048749999,0.0679337394875
sub1318,1.078457606375,84.6213507125,0.0785905026125
sub132,1.52154101325,26.729739600000002,0.11762969078749999
sub1320,4.37226011,0.38368908766975,0.207815264375
sub1322,1.374722066375,22.1937752,0.165009581875
sub1323,0.510144508,8.18436791375,0.074651127875
sub1324,1.10280778,44.1008728625,0.1051565777
sub1325,1.1804234265,49.2874749375,0.08763038415
sub1326,18.949076294999998,161.3934504625,0.10575643795
sub1327,1.833025920375,18.09409223625,0.1208448200875
sub1329,0.6194599045,42.362812125,0.0579422913375
sub133,0.954150084125,10.92808672,0.0756004222
sub1330,3.4437492862499997,64.068172675,0.0907188247375
sub1332,30.0858263375,29.4636000375,0.0794851757
sub1333,1.261674231875,56.53800645,0.0532914822125
sub1334,0.3348103616375,34.5992056025,0.046849789337499996
sub1335,10.726863431249999,78.04356593749999,0.0881452382125
sub1336,0.60386512925,68.93029201249999,0.07626059662500001
sub1337,1.137688325625,38.670502875,0.057013338175000004
sub1338,0.38829796458750004,22.001775605,0.0533616119
sub1339,1.21842095075,3.6165293582499998,0.11397385196250001
sub134,2.475472495125,90.65513816250001,0.075292976125
sub1340,2.298761717875,24.3650425,0.11096820710000001
sub1341,2.56137521575,100.4084706,0.053660094375
sub1342,36.7313941125,61.777421825,0.1021402249375
